epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.7795,1.11442,0.84055,1,0.42728,0.000330709,0.000330709,0.000330709
2,68.0672,0.6487,0.81299,0.99606,0.54355,0.000631172,0.000631172,0.000631172
3,103.443,0.69782,0.79528,0.99803,0.58716,0.000898635,0.000898635,0.000898635
4,138.787,0.65591,0.83661,0.99803,0.53993,0.0008515,0.0008515,0.0008515
5,172.059,0.59735,0.84449,1,0.46159,0.000802,0.000802,0.000802
6,207.029,0.53043,0.88189,1,0.36784,0.0007525,0.0007525,0.0007525
7,241.165,0.49364,0.87205,0.99409,0.42003,0.000703,0.000703,0.000703
8,276.237,0.45091,0.85433,1,0.43509,0.0006535,0.0006535,0.0006535
9,311.018,0.41198,0.87795,0.99803,0.3273,0.000604,0.000604,0.000604
10,346.303,0.38248,0.89764,0.99803,0.3261,0.0005545,0.0005545,0.0005545
11,418.393,0.30297,0.8937,1,0.33326,0.000505,0.000505,0.000505
12,453.225,0.25989,0.91142,1,0.29193,0.0004555,0.0004555,0.0004555
13,488.152,0.22943,0.92913,1,0.30451,0.000406,0.000406,0.000406
14,523.34,0.18091,0.90945,1,0.31339,0.0003565,0.0003565,0.0003565
15,558.473,0.17273,0.93307,1,0.23059,0.000307,0.000307,0.000307
16,592.723,0.13739,0.92717,1,0.29922,0.0002575,0.0002575,0.0002575
17,625.691,0.11555,0.93504,1,0.24676,0.000208,0.000208,0.000208
18,660.786,0.1005,0.94094,1,0.23596,0.0001585,0.0001585,0.0001585
19,696.11,0.1064,0.95276,1,0.23013,0.000109,0.000109,0.000109
20,730.783,0.09734,0.94685,1,0.22898,5.95e-05,5.95e-05,5.95e-05
